Date,Open,High,Low,Close,Adj Close,Volume
2022-03-14,123.500000,123.500000,123.500000,123.500000,123.500000,0
2022-03-15,123.699997,123.699997,123.699997,123.699997,123.699997,0
2022-03-16,126.910004,126.910004,126.910004,126.910004,126.910004,0
2022-03-17,127.000000,127.000000,127.000000,127.000000,127.000000,0
2022-03-18,128.990005,128.990005,128.990005,128.990005,128.990005,0
2022-03-21,130.300003,130.300003,130.300003,130.300003,130.300003,0
2022-03-22,131.529999,131.529999,131.529999,131.529999,131.529999,0
2022-03-23,131.509995,131.509995,131.509995,131.509995,131.509995,0
2022-03-24,null,null,null,null,null,null
2022-03-25,131.639999,131.639999,131.639999,131.639999,131.639999,0
2022-03-28,132.699997,132.699997,132.699997,132.699997,132.699997,0
2022-03-29,133.220001,133.220001,133.220001,133.220001,133.220001,0
2022-03-30,132.740005,132.740005,132.740005,132.740005,132.740005,0
2022-03-31,132.619995,132.619995,132.619995,132.619995,132.619995,0
2022-04-01,132.160004,132.160004,132.160004,132.160004,132.160004,0
2022-04-04,133.300003,133.300003,133.300003,133.300003,133.300003,0
2022-04-05,133.990005,133.990005,133.990005,133.990005,133.990005,0
2022-04-06,131.300003,131.300003,131.300003,131.300003,131.300003,0
2022-04-07,131.800003,131.800003,131.800003,131.800003,131.800003,0
2022-04-08,132.619995,132.619995,132.619995,132.619995,132.619995,0
